Url playlist;;List Url;Type ;Expert name;Company name;Sub-topics;YouTube account;;
https://www.youtube.com/watch?v;YUvhS0YpRXg&list;PLR1VPrvzgShj0ByvsjTlZy96vJH_3LGD0;Playlist;;Bedrock Wine Co.;Wijnboer;https://www.youtube.com/@bedrockwineco.4024;;
https://www.youtube.com/watch?v;6sJGNHiQwCo&list;PLxq-i2px3tgwUF-JL2z0YLOJpCsrMttVw;Playlist;Freddie Perkins;The Bearded Butchers;Slager;https://www.youtube.com/@TheBeardedButchers/featured;;
https://www.youtube.com/watch?v;X-OD8A7s6c4&list;PLxq-i2px3tgw4q0MqJkjIIwQKnUAOxcc3;Playlist;Freddie Perkins;The Bearded Butchers;Slager;https://www.youtube.com/@TheBeardedButchers/featured;;
https://www.youtube.com/watch?v;CRuzH8FmWXc&list;PLxq-i2px3tgyfbi1MqC9vklnKKM01Wi-5;Playlist;Freddie Perkins;The Bearded Butchers;Slager;https://www.youtube.com/@TheBeardedButchers/featured;;
https://www.youtube.com/watch?v;zAQJnnBB6_Y&list;PLxq-i2px3tgxpYUSv8Hki8kC8Zkbnvftu;Playlist;Freddie Perkins;The Bearded Butchers;Slager;https://www.youtube.com/@TheBeardedButchers/featured;;
https://www.youtube.com/watch?v;ivBdHcsF83M&list;PLxq-i2px3tgzMV90xKtaaxTr-BboB07na;Playlist;Freddie Perkins;The Bearded Butchers;Slager;https://www.youtube.com/@TheBeardedButchers/featured;;
https://www.youtube.com/watch?v;XG0-H6kdvyA&list;PLxq-i2px3tgyOFcPOVhVfwG2o87rKgGa5;Playlist;Freddie Perkins;The Bearded Butchers;Slager, chef-kok;https://www.youtube.com/@TheBeardedButchers/featured;;
https://www.youtube.com/watch?v;ui5KrLgESGA&list;PLsbYZq5I4y8f5Sbf6Iu--aKclmyPPZZue;Playlist;;Optometry Today;Opticien;;;
https://www.youtube.com/watch?v;4Ck7mn1VVIE&list;PLMl6OmmUPzUjamk4bjKm9gN2SF5hFXd9u;Playlist;;American Academy of Audiology;Audicien;;;
https://www.youtube.com/watch?v;axRpwm7PwBE&list;PLya8vOHQyOR_M5iof6u0pImXBdt5rfZMr;Playlist;;Phonak;Audicien;;;
https://www.youtube.com/watch?v;qCiicnhmcHQ&list;PLya8vOHQyOR_YtvhtF1UPEPthfy5O9B-l;Playlist;;Phonak;Audicien;;;
https://www.youtube.com/watch?v;iUidLxZ647A&list;PLya8vOHQyOR_cf0HlsR3PQH5erIzw-Qr4;Playlist;;Phonak;Audicien;;;
https://www.youtube.com/watch?v;BFVdWOr0Jsk&list;PLya8vOHQyOR8hQhvbb6aPOWCupoIADJfp;Playlist;;Phonak;Audicien;;;
https://www.youtube.com/watch?v;;eg1X6SKfTQo;Video;Jordan Mantzke;Modern Goldsmith;Edelsmit;https://www.youtube.com/@moderngoldsmith/featured;;
https://www.youtube.com/watch?v;;g1T0vPFZKPc;Video;Jordan Mantzke;Modern Goldsmith;Edelsmit;https://www.youtube.com/@moderngoldsmith/featured;;
